date,visits,revenue,stock_level,is_holiday,month,day_name
2024-01-01,0,0,500,1,1,Monday
2024-01-02,10,11340,495,0,1,Tuesday
2024-01-03,9,4815,491,0,1,Wednesday
2024-01-04,9,13041,487,0,1,Thursday
2024-01-05,9,7650,484,0,1,Friday
2024-01-06,13,16315,478,0,1,Saturday
2024-01-07,9,6642,474,0,1,Sunday
2024-01-08,8,5680,471,0,1,Monday
2024-01-09,6,3126,468,0,1,Tuesday
2024-01-10,10,6150,463,0,1,Wednesday
2024-01-11,8,8312,459,0,1,Thursday
2024-01-12,9,9279,456,0,1,Friday
2024-01-13,13,13650,451,0,1,Saturday
2024-01-14,11,16027,447,0,1,Sunday
2024-01-15,7,5999,444,0,1,Monday
2024-01-16,6,5868,441,0,1,Tuesday
2024-01-17,8,6672,437,0,1,Wednesday
2024-01-18,6,4716,434,0,1,Thursday
2024-01-19,8,5560,430,0,1,Friday
2024-01-20,10,5820,425,0,1,Saturday
2024-01-21,11,14542,421,0,1,Sunday
2024-01-22,8,6272,417,0,1,Monday
2024-01-23,10,14820,413,0,1,Tuesday
2024-01-24,10,10320,408,0,1,Wednesday
2024-01-25,6,4350,406,0,1,Thursday
2024-01-26,6,7470,403,0,1,Friday
2024-01-27,13,18161,397,0,1,Saturday
2024-01-28,12,7632,392,0,1,Sunday
2024-01-29,7,6090,390,0,1,Monday
2024-01-30,8,9128,387,0,1,Tuesday
2024-01-31,6,7134,384,0,1,Wednesday
2024-02-01,7,5005,381,0,2,Thursday
2024-02-02,6,3018,379,0,2,Friday
2024-02-03,9,6417,376,0,2,Saturday
2024-02-04,12,13764,371,0,2,Sunday
2024-02-05,10,14100,366,0,2,Monday
2024-02-06,6,7170,364,0,2,Tuesday
2024-02-07,9,6120,361,0,2,Wednesday
2024-02-08,7,8890,358,0,2,Thursday
2024-02-09,7,7644,356,0,2,Friday
2024-02-10,12,8556,352,0,2,Saturday
2024-02-11,13,19409,347,0,2,Sunday
2024-02-12,6,6684,344,0,2,Monday
2024-02-13,8,7128,341,0,2,Tuesday
2024-02-14,7,4942,339,0,2,Wednesday
2024-02-15,9,6840,335,0,2,Thursday
2024-02-16,6,6726,333,0,2,Friday
2024-02-17,9,11673,329,0,2,Saturday
2024-02-18,11,8338,324,0,2,Sunday
2024-02-19,8,4880,321,0,2,Monday
2024-02-20,8,7104,318,0,2,Tuesday
2024-02-21,6,7272,315,0,2,Wednesday
2024-02-22,6,6276,313,0,2,Thursday
2024-02-23,9,10251,309,0,2,Friday
2024-02-24,10,8300,305,0,2,Saturday
2024-02-25,12,15564,300,0,2,Sunday
2024-02-26,9,5760,296,0,2,Monday
2024-02-27,9,9279,293,0,2,Tuesday
2024-02-28,9,11628,289,0,2,Wednesday
2024-02-29,9,5841,285,0,2,Thursday
2024-03-01,7,6503,283,0,3,Friday
2024-03-02,11,11099,279,0,3,Saturday
2024-03-03,11,13200,275,0,3,Sunday
2024-03-04,10,13170,271,0,3,Monday
2024-03-05,10,9560,267,0,3,Tuesday
2024-03-06,9,5004,263,0,3,Wednesday
2024-03-07,7,3598,261,0,3,Thursday
2024-03-08,8,9648,258,0,3,Friday
2024-03-09,14,7294,253,0,3,Saturday
2024-03-10,11,13640,248,0,3,Sunday
2024-03-11,8,11592,245,0,3,Monday
2024-03-12,10,14370,240,0,3,Tuesday
2024-03-13,10,7950,235,0,3,Wednesday
2024-03-14,10,7540,230,0,3,Thursday
2024-03-15,8,9088,226,0,3,Friday
2024-03-16,14,14224,220,0,3,Saturday
2024-03-17,11,10769,215,0,3,Sunday
2024-03-18,10,8280,210,0,3,Monday
2024-03-19,9,10053,207,0,3,Tuesday
2024-03-20,6,3054,205,0,3,Wednesday
2024-03-21,6,5616,203,0,3,Thursday
2024-03-22,9,6912,199,0,3,Friday
2024-03-23,12,7380,194,0,3,Saturday
2024-03-24,13,13507,188,0,3,Sunday
2024-03-25,9,9162,184,0,3,Monday
2024-03-26,6,4272,181,0,3,Tuesday
2024-03-27,7,9597,178,0,3,Wednesday
2024-03-28,8,5536,174,0,3,Thursday
2024-03-29,10,12920,169,0,3,Friday
2024-03-30,12,10224,165,0,3,Saturday
2024-03-31,10,13010,161,0,3,Sunday
2024-04-01,8,7400,157,0,4,Monday
2024-04-02,7,9184,154,0,4,Tuesday
2024-04-03,7,3920,151,0,4,Wednesday
2024-04-04,8,10936,148,0,4,Thursday
2024-04-05,9,6021,144,0,4,Friday
2024-04-06,12,8268,140,0,4,Saturday
2024-04-07,13,18993,135,0,4,Sunday
2024-04-08,11,10725,131,0,4,Monday
2024-04-09,7,6293,129,0,4,Tuesday
2024-04-10,3,1614,127,1,4,Wednesday
2024-04-11,1,817,126,1,4,Thursday
2024-04-12,5,5220,123,1,4,Friday
2024-04-13,3,3951,121,1,4,Saturday
2024-04-14,2,2584,121,1,4,Sunday
2024-04-15,5,4710,119,1,4,Monday
2024-04-16,1,1155,119,1,4,Tuesday
2024-04-17,2,2048,118,1,4,Wednesday
2024-04-18,9,9234,114,0,4,Thursday
2024-04-19,6,7584,112,0,4,Friday
2024-04-20,11,11869,108,0,4,Saturday
2024-04-21,12,9384,103,0,4,Sunday
2024-04-22,9,12762,600,0,4,Monday
2024-04-23,9,10017,596,0,4,Tuesday
2024-04-24,7,8323,593,0,4,Wednesday
2024-04-25,7,4998,591,0,4,Thursday
2024-04-26,9,12528,588,0,4,Friday
2024-04-27,10,10830,583,0,4,Saturday
2024-04-28,10,8770,579,0,4,Sunday
2024-04-29,10,9730,575,0,4,Monday
