date,service_name,category,quantity,price,revenue
2023-01-01,Follow-up Consultation,Consultation,1,400,400
2023-01-01,Full Grooming,Grooming,1,800,800
2023-01-01,Tick and Flea Treatment,Preventive Care,1,500,500
2023-01-02,General Check-up,Consultation,2,400,800
2023-01-02,Basic Grooming,Grooming,1,750,750
2023-01-02,Deworming,Vaccination,1,850,850
2023-01-02,Blood Test,Laboratory,1,750,750
2023-01-02,Heartworm Prevention,Preventive Care,1,500,500
2023-01-03,General Check-up,Consultation,2,350,700
2023-01-03,Basic Grooming,Grooming,2,750,1500
2023-01-03,5-in-1 Vaccine,Vaccination,1,950,950
2023-01-03,Blood Test,Laboratory,1,750,750
2023-01-03,Heartworm Prevention,Preventive Care,1,450,450
2023-01-04,General Check-up,Consultation,2,350,700
2023-01-04,Full Grooming,Grooming,1,750,750
2023-01-04,Deworming,Vaccination,1,900,900
2023-01-04,Blood Test,Laboratory,1,800,800
2023-01-04,Heartworm Prevention,Preventive Care,2,500,1000
2023-01-05,Follow-up Consultation,Consultation,1,350,350
2023-01-05,Basic Grooming,Grooming,1,700,700
2023-01-05,Anti-Rabies,Vaccination,1,850,850
2023-01-05,Tick and Flea Treatment,Preventive Care,2,500,1000
2023-01-06,General Check-up,Consultation,2,450,900
2023-01-06,Basic Grooming,Grooming,1,800,800
2023-01-06,5-in-1 Vaccine,Vaccination,1,850,850
2023-01-06,Blood Test,Laboratory,1,800,800
2023-01-06,Heartworm Prevention,Preventive Care,1,450,450
2023-01-07,General Check-up,Consultation,3,400,1200
2023-01-07,Full Grooming,Grooming,2,800,1600
2023-01-07,Deworming,Vaccination,2,850,1700
2023-01-07,General Lab,Laboratory,1,850,850
2023-01-07,Heartworm Prevention,Preventive Care,2,500,1000
2023-01-08,Follow-up Consultation,Consultation,3,450,1350
2023-01-08,Full Grooming,Grooming,2,800,1600
2023-01-08,Anti-Rabies,Vaccination,2,900,1800
2023-01-08,Blood Test,Laboratory,1,750,750
2023-01-08,Tick and Flea Treatment,Preventive Care,3,500,1500
2023-01-09,Follow-up Consultation,Consultation,2,450,900
2023-01-09,Full Grooming,Grooming,1,700,700
2023-01-09,Deworming,Vaccination,2,800,1600
2023-01-09,Blood Test,Laboratory,1,900,900
2023-01-09,Heartworm Prevention,Preventive Care,2,400,800
2023-01-10,General Check-up,Consultation,1,400,400
2023-01-10,Full Grooming,Grooming,1,800,800
2023-01-10,5-in-1 Vaccine,Vaccination,2,850,1700
2023-01-10,Blood Test,Laboratory,1,850,850
2023-01-10,Heartworm Prevention,Preventive Care,2,450,900
2023-01-11,General Check-up,Consultation,2,500,1000
2023-01-11,Full Grooming,Grooming,1,750,750
2023-01-11,Deworming,Vaccination,1,950,950
2023-01-11,General Lab,Laboratory,1,750,750
2023-01-11,Heartworm Prevention,Preventive Care,1,400,400
2023-01-12,General Check-up,Consultation,2,350,700
2023-01-12,Basic Grooming,Grooming,1,800,800
2023-01-12,Anti-Rabies,Vaccination,1,950,950
2023-01-12,General Lab,Laboratory,1,850,850
2023-01-12,Tick and Flea Treatment,Preventive Care,2,500,1000
2023-01-13,Follow-up Consultation,Consultation,1,350,350
2023-01-13,Full Grooming,Grooming,1,750,750
2023-01-13,5-in-1 Vaccine,Vaccination,2,850,1700
2023-01-13,Blood Test,Laboratory,1,800,800
2023-01-13,Heartworm Prevention,Preventive Care,2,450,900
2023-01-14,Follow-up Consultation,Consultation,3,400,1200
2023-01-14,Full Grooming,Grooming,2,700,1400
2023-01-14,Anti-Rabies,Vaccination,2,950,1900
2023-01-14,General Lab,Laboratory,1,900,900
2023-01-14,Heartworm Prevention,Preventive Care,3,350,1050
2023-01-15,General Check-up,Consultation,3,400,1200
2023-01-15,Full Grooming,Grooming,1,800,800
2023-01-15,Anti-Rabies,Vaccination,2,900,1800
2023-01-15,General Lab,Laboratory,1,850,850
2023-01-15,Heartworm Prevention,Preventive Care,2,450,900
2023-01-16,General Check-up,Consultation,1,450,450
2023-01-16,Full Grooming,Grooming,1,800,800
2023-01-16,Anti-Rabies,Vaccination,1,800,800
2023-01-16,Tick and Flea Treatment,Preventive Care,2,350,700
2023-01-17,General Check-up,Consultation,2,350,700
2023-01-17,Full Grooming,Grooming,1,850,850
2023-01-17,Anti-Rabies,Vaccination,1,900,900
2023-01-17,Heartworm Prevention,Preventive Care,2,500,1000
2023-01-18,General Check-up,Consultation,1,400,400
2023-01-18,Basic Grooming,Grooming,1,800,800
2023-01-18,Deworming,Vaccination,1,950,950
2023-01-18,General Lab,Laboratory,1,900,900
2023-01-18,Heartworm Prevention,Preventive Care,2,350,700
2023-01-19,Follow-up Consultation,Consultation,1,450,450
2023-01-19,Basic Grooming,Grooming,1,800,800
2023-01-19,Anti-Rabies,Vaccination,1,850,850
2023-01-19,Tick and Flea Treatment,Preventive Care,1,500,500
2023-01-20,General Check-up,Consultation,1,350,350
2023-01-20,Basic Grooming,Grooming,1,850,850
2023-01-20,Anti-Rabies,Vaccination,1,950,950
2023-01-20,Tick and Flea Treatment,Preventive Care,1,400,400
2023-01-21,Follow-up Consultation,Consultation,3,400,1200
2023-01-21,Basic Grooming,Grooming,1,850,850
2023-01-21,5-in-1 Vaccine,Vaccination,2,800,1600
2023-01-21,General Lab,Laboratory,1,850,850
2023-01-21,Heartworm Prevention,Preventive Care,2,450,900
2023-01-22,General Check-up,Consultation,3,450,1350
2023-01-22,Full Grooming,Grooming,2,850,1700
2023-01-22,5-in-1 Vaccine,Vaccination,2,850,1700
2023-01-22,Tick and Flea Treatment,Preventive Care,2,500,1000
2023-01-23,Follow-up Consultation,Consultation,1,500,500
2023-01-23,Full Grooming,Grooming,1,800,800
2023-01-23,Anti-Rabies,Vaccination,2,800,1600
2023-01-23,Blood Test,Laboratory,1,800,800
2023-01-23,Heartworm Prevention,Preventive Care,1,500,500
