date,service_name,category,quantity,price,revenue
1/01/26,General Consultation / Check-up,Consultation,1,400,400
1/01/26,Follow-up Consultation,Consultation,1,350,350
1/01/26,General Consultation / Check-up,Consultation,1,400,400
1/01/26,General Consultation / Check-up,Consultation,1,400,400
1/01/26,General Consultation / Check-up,Consultation,1,400,400
1/01/26,Basic Grooming,Grooming,1,600,600
1/01/26,Full Grooming,Grooming,1,900,900
1/01/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/01/26,General Laboratory Service,Laboratory,1,800,800
1/01/26,Deworming,Others,1,350,350
1/02/26,General Consultation / Check-up,Consultation,1,400,400
1/02/26,Follow-up Consultation,Consultation,1,350,350
1/02/26,General Consultation / Check-up,Consultation,1,400,400
1/02/26,Follow-up Consultation,Consultation,1,350,350
1/02/26,Follow-up Consultation,Consultation,1,350,350
1/02/26,General Consultation / Check-up,Consultation,1,400,400
1/02/26,General Consultation / Check-up,Consultation,1,400,400
1/02/26,Follow-up Consultation,Consultation,1,350,350
1/02/26,Follow-up Consultation,Consultation,1,350,350
1/02/26,Basic Grooming,Grooming,1,600,600
1/02/26,Basic Grooming,Grooming,1,600,600
1/02/26,Full Grooming,Grooming,1,900,900
1/02/26,Basic Grooming,Grooming,1,600,600
1/02/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/02/26,Blood Test,Laboratory,1,900,900
1/02/26,Tick and Flea Treatment,Others,1,450,450
1/02/26,Deworming,Others,1,350,350
1/03/26,General Consultation / Check-up,Consultation,1,400,400
1/03/26,Follow-up Consultation,Consultation,1,350,350
1/03/26,General Consultation / Check-up,Consultation,1,400,400
1/03/26,Follow-up Consultation,Consultation,1,350,350
1/03/26,Follow-up Consultation,Consultation,1,350,350
1/03/26,General Consultation / Check-up,Consultation,1,400,400
1/03/26,General Consultation / Check-up,Consultation,1,400,400
1/03/26,General Consultation / Check-up,Consultation,1,400,400
1/03/26,Full Grooming,Grooming,1,900,900
1/03/26,Basic Grooming,Grooming,1,600,600
1/03/26,Basic Grooming,Grooming,1,600,600
1/03/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/03/26,Blood Test,Laboratory,1,900,900
1/03/26,Blood Test,Laboratory,1,900,900
1/03/26,General Laboratory Service,Laboratory,1,800,800
1/03/26,Tick and Flea Treatment,Others,1,450,450
1/03/26,Deworming,Others,1,350,350
1/04/26,General Consultation / Check-up,Consultation,1,400,400
1/04/26,General Consultation / Check-up,Consultation,1,400,400
1/04/26,General Consultation / Check-up,Consultation,1,400,400
1/04/26,General Consultation / Check-up,Consultation,1,400,400
1/04/26,Follow-up Consultation,Consultation,1,350,350
1/04/26,Follow-up Consultation,Consultation,1,350,350
1/04/26,Follow-up Consultation,Consultation,1,350,350
1/04/26,Full Grooming,Grooming,1,900,900
1/04/26,Basic Grooming,Grooming,1,600,600
1/04/26,Basic Grooming,Grooming,1,600,600
1/04/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/04/26,Blood Test,Laboratory,1,900,900
1/04/26,General Laboratory Service,Laboratory,1,800,800
1/04/26,General Laboratory Service,Laboratory,1,800,800
1/04/26,Blood Test,Laboratory,1,900,900
1/04/26,Tick and Flea Treatment,Others,1,450,450
1/05/26,Follow-up Consultation,Consultation,1,350,350
1/05/26,General Consultation / Check-up,Consultation,1,400,400
1/05/26,Follow-up Consultation,Consultation,1,350,350
1/05/26,General Consultation / Check-up,Consultation,1,400,400
1/05/26,General Consultation / Check-up,Consultation,1,400,400
1/05/26,Follow-up Consultation,Consultation,1,350,350
1/05/26,Follow-up Consultation,Consultation,1,350,350
1/05/26,Follow-up Consultation,Consultation,1,350,350
1/05/26,Basic Grooming,Grooming,1,600,600
1/05/26,Basic Grooming,Grooming,1,600,600
1/05/26,Full Grooming,Grooming,1,900,900
1/05/26,Basic Grooming,Grooming,1,600,600
1/05/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/05/26,General Laboratory Service,Laboratory,1,800,800
1/05/26,Blood Test,Laboratory,1,900,900
1/05/26,Deworming,Others,1,350,350
1/05/26,Tick and Flea Treatment,Others,1,450,450
1/05/26,Tick and Flea Treatment,Others,1,450,450
1/06/26,Follow-up Consultation,Consultation,1,350,350
1/06/26,Follow-up Consultation,Consultation,1,350,350
1/06/26,General Consultation / Check-up,Consultation,1,400,400
1/06/26,General Consultation / Check-up,Consultation,1,400,400
1/06/26,Follow-up Consultation,Consultation,1,350,350
1/06/26,Follow-up Consultation,Consultation,1,350,350
1/06/26,General Consultation / Check-up,Consultation,1,400,400
1/06/26,Follow-up Consultation,Consultation,1,350,350
1/06/26,Follow-up Consultation,Consultation,1,350,350
1/06/26,Full Grooming,Grooming,1,900,900
1/06/26,Basic Grooming,Grooming,1,600,600
1/06/26,Full Grooming,Grooming,1,900,900
1/06/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/06/26,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/06/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/06/26,General Laboratory Service,Laboratory,1,800,800
1/06/26,General Laboratory Service,Laboratory,1,800,800
1/06/26,Blood Test,Laboratory,1,900,900
1/06/26,Deworming,Others,1,350,350
1/07/26,Follow-up Consultation,Consultation,1,350,350
1/07/26,Follow-up Consultation,Consultation,1,350,350
1/07/26,General Consultation / Check-up,Consultation,1,400,400
1/07/26,General Consultation / Check-up,Consultation,1,400,400
1/07/26,Follow-up Consultation,Consultation,1,350,350
1/07/26,Follow-up Consultation,Consultation,1,350,350
1/07/26,General Consultation / Check-up,Consultation,1,400,400
1/07/26,General Consultation / Check-up,Consultation,1,400,400
1/07/26,General Consultation / Check-up,Consultation,1,400,400
1/07/26,Basic Grooming,Grooming,1,600,600
1/07/26,Full Grooming,Grooming,1,900,900
1/07/26,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/07/26,General Laboratory Service,Laboratory,1,800,800
1/07/26,Blood Test,Laboratory,1,900,900
1/07/26,Deworming,Others,1,350,350
1/07/26,Tick and Flea Treatment,Others,1,450,450
1/07/26,Tick and Flea Treatment,Others,1,450,450
1/08/26,General Consultation / Check-up,Consultation,1,400,400
1/08/26,Follow-up Consultation,Consultation,1,350,350
1/08/26,Follow-up Consultation,Consultation,1,350,350
1/08/26,Follow-up Consultation,Consultation,1,350,350
1/08/26,Follow-up Consultation,Consultation,1,350,350
1/08/26,Follow-up Consultation,Consultation,1,350,350
1/08/26,Basic Grooming,Grooming,1,600,600
1/08/26,Basic Grooming,Grooming,1,600,600
1/08/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/08/26,General Laboratory Service,Laboratory,1,800,800
1/08/26,Deworming,Others,1,350,350
1/08/26,Deworming,Others,1,350,350
1/08/26,Deworming,Others,1,350,350
1/09/26,General Consultation / Check-up,Consultation,1,400,400
1/09/26,General Consultation / Check-up,Consultation,1,400,400
1/09/26,General Consultation / Check-up,Consultation,1,400,400
1/09/26,Follow-up Consultation,Consultation,1,350,350
1/09/26,General Consultation / Check-up,Consultation,1,400,400
1/09/26,Full Grooming,Grooming,1,900,900
1/09/26,Full Grooming,Grooming,1,900,900
1/09/26,Basic Grooming,Grooming,1,600,600
1/09/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/09/26,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/09/26,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/09/26,General Laboratory Service,Laboratory,1,800,800
1/09/26,Blood Test,Laboratory,1,900,900
1/09/26,Blood Test,Laboratory,1,900,900
1/09/26,General Laboratory Service,Laboratory,1,800,800
1/09/26,Deworming,Others,1,350,350
1/10/26,Follow-up Consultation,Consultation,1,350,350
1/10/26,Follow-up Consultation,Consultation,1,350,350
1/10/26,Follow-up Consultation,Consultation,1,350,350
1/10/26,Follow-up Consultation,Consultation,1,350,350
1/10/26,General Consultation / Check-up,Consultation,1,400,400
1/10/26,General Consultation / Check-up,Consultation,1,400,400
1/10/26,General Consultation / Check-up,Consultation,1,400,400
1/10/26,Follow-up Consultation,Consultation,1,350,350
1/10/26,Basic Grooming,Grooming,1,600,600
1/10/26,Basic Grooming,Grooming,1,600,600
1/10/26,Basic Grooming,Grooming,1,600,600
1/10/26,Basic Grooming,Grooming,1,600,600
1/10/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/10/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/10/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/10/26,Blood Test,Laboratory,1,900,900
1/10/26,Blood Test,Laboratory,1,900,900
1/10/26,Deworming,Others,1,350,350
1/11/26,General Consultation / Check-up,Consultation,1,400,400
1/11/26,General Consultation / Check-up,Consultation,1,400,400
1/11/26,General Consultation / Check-up,Consultation,1,400,400
1/11/26,General Consultation / Check-up,Consultation,1,400,400
1/11/26,General Consultation / Check-up,Consultation,1,400,400
1/11/26,General Consultation / Check-up,Consultation,1,400,400
1/11/26,Follow-up Consultation,Consultation,1,350,350
1/11/26,Follow-up Consultation,Consultation,1,350,350
1/11/26,Basic Grooming,Grooming,1,600,600
1/11/26,Full Grooming,Grooming,1,900,900
1/11/26,Basic Grooming,Grooming,1,600,600
1/11/26,Basic Grooming,Grooming,1,600,600
1/11/26,Full Grooming,Grooming,1,900,900
1/11/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/11/26,Blood Test,Laboratory,1,900,900
1/11/26,Blood Test,Laboratory,1,900,900
1/11/26,Blood Test,Laboratory,1,900,900
1/11/26,Tick and Flea Treatment,Others,1,450,450
1/11/26,Deworming,Others,1,350,350
1/11/26,Deworming,Others,1,350,350
1/12/26,General Consultation / Check-up,Consultation,1,400,400
1/12/26,General Consultation / Check-up,Consultation,1,400,400
1/12/26,General Consultation / Check-up,Consultation,1,400,400
1/12/26,Follow-up Consultation,Consultation,1,350,350
1/12/26,General Consultation / Check-up,Consultation,1,400,400
1/12/26,General Consultation / Check-up,Consultation,1,400,400
1/12/26,Follow-up Consultation,Consultation,1,350,350
1/12/26,Basic Grooming,Grooming,1,600,600
1/12/26,Basic Grooming,Grooming,1,600,600
1/12/26,Basic Grooming,Grooming,1,600,600
1/12/26,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/12/26,General Laboratory Service,Laboratory,1,800,800
1/12/26,Deworming,Others,1,350,350
1/12/26,Deworming,Others,1,350,350
1/13/26,General Consultation / Check-up,Consultation,1,400,400
1/13/26,General Consultation / Check-up,Consultation,1,400,400
1/13/26,Follow-up Consultation,Consultation,1,350,350
1/13/26,Follow-up Consultation,Consultation,1,350,350
1/13/26,Follow-up Consultation,Consultation,1,350,350
1/13/26,General Consultation / Check-up,Consultation,1,400,400
1/13/26,Follow-up Consultation,Consultation,1,350,350
1/13/26,General Consultation / Check-up,Consultation,1,400,400
1/13/26,Follow-up Consultation,Consultation,1,350,350
1/13/26,Basic Grooming,Grooming,1,600,600
1/13/26,Full Grooming,Grooming,1,900,900
1/13/26,Full Grooming,Grooming,1,900,900
1/13/26,Full Grooming,Grooming,1,900,900
1/13/26,Basic Grooming,Grooming,1,600,600
1/13/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/13/26,General Laboratory Service,Laboratory,1,800,800
1/13/26,Deworming,Others,1,350,350
1/13/26,Tick and Flea Treatment,Others,1,450,450
1/13/26,Deworming,Others,1,350,350
1/14/26,General Consultation / Check-up,Consultation,1,400,400
1/14/26,General Consultation / Check-up,Consultation,1,400,400
1/14/26,Follow-up Consultation,Consultation,1,350,350
1/14/26,Follow-up Consultation,Consultation,1,350,350
1/14/26,General Consultation / Check-up,Consultation,1,400,400
1/14/26,Follow-up Consultation,Consultation,1,350,350
1/14/26,Follow-up Consultation,Consultation,1,350,350
1/14/26,Full Grooming,Grooming,1,900,900
1/14/26,Basic Grooming,Grooming,1,600,600
1/14/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/14/26,General Laboratory Service,Laboratory,1,800,800
1/14/26,Deworming,Others,1,350,350
1/14/26,Tick and Flea Treatment,Others,1,450,450
1/14/26,Tick and Flea Treatment,Others,1,450,450
1/15/26,General Consultation / Check-up,Consultation,1,400,400
1/15/26,Follow-up Consultation,Consultation,1,350,350
1/15/26,General Consultation / Check-up,Consultation,1,400,400
1/15/26,Follow-up Consultation,Consultation,1,350,350
1/15/26,Follow-up Consultation,Consultation,1,350,350
1/15/26,Follow-up Consultation,Consultation,1,350,350
1/15/26,General Consultation / Check-up,Consultation,1,400,400
1/15/26,General Consultation / Check-up,Consultation,1,400,400
1/15/26,Follow-up Consultation,Consultation,1,350,350
1/15/26,Basic Grooming,Grooming,1,600,600
1/15/26,Basic Grooming,Grooming,1,600,600
1/15/26,Full Grooming,Grooming,1,900,900
1/15/26,Basic Grooming,Grooming,1,600,600
1/15/26,5 in 1 Vaccine (Dogs),Vaccination,1,1000,1000
1/15/26,Anti-Rabies Vaccine,Vaccination,1,500,500
1/15/26,6 in 1 Vaccine (Dogs),Vaccination,1,1100,1100
1/15/26,Blood Test,Laboratory,1,900,900
1/15/26,General Laboratory Service,Laboratory,1,800,800
1/15/26,General Laboratory Service,Laboratory,1,800,800
