inventory_id,item_name,category,sales_date,quantity_sold,unit_price,total_sales,code
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,01/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,01/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,01/01/2025,2,300,600,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,01/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,01/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,01/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,01/01/2025,0,200,0,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,01/01/2025,0,900,0,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,01/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,01/01/2025,21,5,105,INV-010
11,Syringe 3mL (sterile),Required Items,01/01/2025,3,5,15,INV-011
12,Needle 23G / 25G (sterile),Required Items,01/01/2025,6,10,60,INV-012
13,IV catheter (22G / 24G),Required Items,01/01/2025,6,50,300,INV-013
14,"Disposable gloves (box, 100 pcs)",Required Items,01/01/2025,24,250,6000,INV-014
15,Gauze pads (sterile packs),Required Items,01/01/2025,13,5,65,INV-015
16,Cotton balls / cotton rolls,Required Items,01/01/2025,11,120,1320,INV-016
17,70% alcohol (500 mL â€“ 1 L),Required Items,01/01/2025,14,180,2520,INV-017
18,VetClean Anti-Tick & Flea Dog Shampoo 250ml,Grooming Supplies,01/01/2025,0,350,0,INV-018
19,PetDerm Sensitive Skin Cat Shampoo 200ml,Grooming Supplies,01/01/2025,0,320,0,INV-019
20,FungiCare Medicated Antifungal Shampoo 250ml,Grooming Supplies,01/01/2025,0,450,0,INV-020
21,CoatSoft Pet Conditioner 200ml,Grooming Supplies,01/01/2025,3,300,900,INV-021
22,FeshPaws Grooming Cologne (Baby Powder) 100ml,Grooming Supplies,01/01/2025,5,200,1000,INV-022
23,KnotFree Detangling Spray 150ml,Grooming Supplies,01/01/2025,4,280,1120,INV-023
24,Rabigen Anti-Rabies Vaccine 1mL (Canine/Feline),Vaccines,01/01/2025,5,300,1500,INV-024
25,Vanguard Plus 5-in-1 Vaccine for Dogs 1 Dose,Vaccines,01/01/2025,0,650,0,INV-025
26,Vanguard Plus 6-in-1 Vaccine for Dogs 1 Dose,Vaccines,01/01/2025,0,800,0,INV-026
27,Felocell 4-in-1 Vaccine for Cats 1 Dose,Vaccines,01/01/2025,0,650,0,INV-027
28,Drontal,Preventive Care Supplies,01/01/2025,0,100,0,INV-028
1,Nobivac DHPPi (MSD) â€“ canine core combo vaccine,Vaccines,02/01/2025,0,50,0,INV-001
2,Nobivac Rabies (MSD) â€“ rabies vaccine,Vaccines,02/01/2025,0,250,0,INV-002
3,Nobivac L4 (MSD) â€“ leptospirosis vaccine,Vaccines,02/01/2025,0,300,0,INV-003
4,Nobivac KC (MSD) â€“ kennel cough (intranasal),Vaccines,02/01/2025,0,350,0,INV-004
5,Nobivac Tricat Trio (MSD) â€“ feline core vaccine,Vaccines,02/01/2025,0,300,0,INV-005
6,Synulox palatable tablets (Zoetis) â€“ amoxicillin/clavulanic acid,Medicines,02/01/2025,0,90,0,INV-006
7,Cerenia 16 mg tablets (maropitant),Medicines,02/01/2025,5,200,1000,INV-007
8,Metacam 1.5 mg/ml oral suspension (meloxicam),Medicines,02/01/2025,0,900,0,INV-008
9,Zoletil (Virbac) â€“ injectable anesthetic,Medicines,02/01/2025,0,550,0,INV-009
10,Syringe 1mL (sterile),Required Items,02/01/2025,0,5,0,INV-010
